visualize scatter select sum ( grant_amount ) , organisation_id from grants group by organisation_id
visualize bar select nationality , count ( * ) from people group by nationality order by count ( * ) desc
visualize bar select hire_date , sum ( manager_id ) from employees where hire_date < {value} order by sum ( manager_id ) asc bin hire_date by month
visualize bar select hire_date , sum ( employee_id ) from employees where hire_date < {value} order by sum ( employee_id ) desc bin hire_date by weekday
visualize bar select class , count ( class ) from race group by class order by class asc
visualize bar select hometown , age from teacher order by age desc
visualize bar select class , count ( class ) from ship where ship_id not in ( select ship_id from captain ) group by class
visualize bar select name , sum ( grade ) from highschooler group by name order by name desc
visualize bar select hire_date , avg ( employee_id ) from employees where department_id not in ( select department_id from departments where manager_id between {value} and {value} ) bin hire_date by weekday
visualize bar select meter_500 , id from swimmer order by meter_500 asc
visualize bar select document_type_code , count ( * ) from documents group by document_type_code order by document_type_code desc
visualize bar select date_arrived , count ( date_arrived ) from dogs bin date_arrived by year
visualize bar select cname , min ( enr ) from college group by state order by cname asc
visualize bar select t1 . name , t1 . manufacturer from products as t1 join manufacturers as t2 on t1 . manufacturer = t2 . code group by t1 . name
visualize pie select document_type_code , count ( * ) from documents group by document_type_code
visualize bar select hire_date , sum ( employee_id ) from employees where employee_id not in ( select employee_id from job_history ) order by sum ( employee_id ) desc bin hire_date by weekday
visualize scatter select invoice_number , count ( * ) from financial_transactions group by invoice_number
visualize bar select decor , avg ( baseprice ) from rooms group by decor order by decor asc
visualize bar select type_of_thing_code , count ( type_of_thing_code ) from things group by type_of_thing_code order by count ( type_of_thing_code ) asc
visualize scatter select sum ( number_of_platforms ) , sum ( total_passengers ) from station group by location
visualize bar select date , count ( date ) from weather where zip_code = {value} and events != {value} and events != {value} order by count ( date ) desc bin date by weekday
visualize bar select party_name , count ( * ) from member as t1 join party as t2 on t1 . party_id = t2 . party_id group by t1 . party_id
visualize scatter select team_id , all_games_percent from basketball_match group by all_neutral
visualize bar select city , count ( * ) from employee group by city
visualize bar select sportname , count ( * ) from sportsinfo group by sportname
visualize bar select all_neutral , acc_percent from basketball_match
visualize scatter select count ( * ) , t1 . dormid from dorm as t1 join has_amenity as t2 on t1 . dormid = t2 . dormid where t1 . student_capacity > {value} group by t1 . dormid
visualize bar select start_from , sum ( employee_id ) from hiring bin start_from by weekday
visualize bar select t1 . name , t1 . code from products as t1 join manufacturers as t2 on t1 . manufacturer = t2 . code group by headquarter , t1 . name order by t1 . code desc
visualize bar select sex , count ( * ) from student where age > ( select avg ( age ) from student ) group by sex
visualize bar select all_home , sum ( team_id ) from basketball_match group by all_home order by all_home asc
visualize bar select year , count ( * ) from matches group by year order by year asc
visualize bar select email , salary from employees order by email desc
visualize line select hire_date , salary from employees where department_id not in ( select department_id from departments where manager_id between {value} and {value} ) order by hire_date desc
visualize bar select meter_300 , id from swimmer order by meter_300 asc
visualize bar select product_name , count ( product_name ) from products group by product_name order by product_name desc
visualize bar select hire_date , sum ( manager_id ) from employees where hire_date < {value} order by sum ( manager_id ) desc bin hire_date by weekday
visualize scatter select t1 . editor_id , count ( * ) from editor as t1 join journal_committee as t2 on t1 . editor_id = t2 . editor_id group by name
visualize bar select date_payment_made , amount_payment from payments where payment_method_code = {value} order by amount_payment desc
visualize bar select meter_400 , meter_100 from swimmer order by meter_100 asc
visualize line select year , sum ( attendance ) from home_game order by year desc bin year by year
visualize bar select t2 . founder , t1 . code from products as t1 join manufacturers as t2 on t1 . manufacturer = t2 . code group by t2 . founder
visualize bar select hire_date , sum ( salary ) from employees where department_id not in ( select department_id from departments where manager_id between {value} and {value} ) order by sum ( salary ) desc bin hire_date by month
visualize bar select meter_300 , meter_100 from swimmer
visualize bar select all_neutral , team_id from basketball_match order by team_id desc
visualize bar select name , height_feet from building as t1 join institution as t2 on t1 . building_id = t2 . building_id where t2 . founded > {value}
visualize line select hire_date , employee_id from employees where first_name like {value} or first_name like {value} order by hire_date desc
visualize line select hire_date , manager_id from employees where salary between {value} and {value} and commission_pct != {value} or department_id != {value}
visualize line select date_in_location_from , count ( date_in_location_from ) from document_locations group by date_in_location_from
visualize bar select email , salary from employees where department_id not in ( select department_id from departments where manager_id between {value} and {value} ) order by salary asc
visualize pie select pname , count ( pname ) from player as t1 join tryout as t2 on t1 . pid = t2 . pid group by pname order by t1 . pname
visualize pie select type , sum ( enrollment ) from institution group by type
visualize bar select building , count ( building ) from department group by building order by count ( building ) asc
visualize bar select acc_regular_season , acc_percent from basketball_match order by acc_percent desc
visualize bar select job , avg ( age ) from person group by job order by avg ( age ) asc
visualize bar select t1 . name , t1 . price from products as t1 join manufacturers as t2 on t1 . manufacturer = t2 . code group by t1 . name , t1 . name order by t1 . name asc
visualize bar select acc_road , school_id from basketball_match group by all_home , acc_road order by school_id asc
visualize bar select name , count ( * ) from projects as t1 join assignedto as t2 on t1 . code = t2 . project where t1 . hours > {value} group by t1 . name order by count ( * ) asc
visualize line select date , count ( date ) from weather where mean_sea_level_pressure_inches between {value} and {value} group by date order by date desc
visualize bar select first_name , department_id from employees order by department_id desc
visualize scatter select avg ( stu_gpa ) , min ( stu_gpa ) from student group by dept_code
visualize bar select name , id from swimmer order by name asc
visualize pie select subject_name , count ( * ) from courses as t1 join subjects as t2 on t1 . subject_id = t2 . subject_id group by t1 . subject_id
visualize bar select headquarters , count ( * ) from company group by headquarters order by count ( * ) asc
visualize bar select rank , count ( rank ) from captain group by rank order by rank asc
visualize bar select sex , sum ( weight ) from people group by sex order by sum ( weight ) desc
visualize bar select name , count ( name ) from appointment as t1 join patient as t2 on t1 . patient = t2 . ssn group by name order by name asc
visualize pie select product_category_code , avg ( product_price ) from products group by product_category_code
visualize bar select document_type_name , count ( document_type_name ) from ref_document_types as t1 join documents as t2 on t1 . document_type_code = t2 . document_type_code group by document_type_name order by count ( document_type_name ) asc
visualize bar select hire_date , count ( hire_date ) from employees where department_id not in ( select department_id from departments where manager_id between {value} and {value} ) order by count ( hire_date ) desc bin hire_date by weekday
visualize bar select emp_fname , count ( emp_fname ) from class as t1 join employee as t2 on t1 . prof_num = t2 . emp_num join course as t3 on t1 . crs_code = t3 . crs_code join professor as t4 on t2 . emp_num = t4 . emp_num group by crs_description , emp_fname order by count ( emp_fname ) asc
visualize bar select building , max ( capacity ) from classroom group by building order by building desc
visualize bar select t1 . name , t1 . price from products as t1 join manufacturers as t2 on t1 . manufacturer = t2 . code group by t1 . name order by t1 . price desc
visualize bar select apt_number , count ( apt_number ) from apartment_bookings as t1 join apartments as t2 on t1 . apt_id = t2 . apt_id group by apt_number order by apt_number desc
visualize bar select decor , min ( baseprice ) from rooms group by decor order by min ( baseprice ) asc
visualize bar select occupation , count ( occupation ) from player group by occupation
visualize bar select meter_400 , id from swimmer order by id desc
visualize bar select country , count ( country ) from mountain where height > {value} group by country order by count ( country ) desc
visualize bar select roomname , count ( roomname ) from reservations as t1 join rooms as t2 on t1 . room = t2 . roomid where firstname like {value} group by roomname order by roomname asc
visualize bar select hire_date , avg ( department_id ) from employees where salary between {value} and {value} and commission_pct != {value} or department_id != {value} order by avg ( department_id ) asc bin hire_date by month
visualize line select start_from , employee_id from hiring
visualize bar select industry , count ( industry ) from company group by industry order by industry desc
visualize scatter select t1 . price , t1 . code from products as t1 join manufacturers as t2 on t1 . manufacturer = t2 . code group by name
visualize scatter select t1 . price , t1 . code from products as t1 join manufacturers as t2 on t1 . manufacturer = t2 . code group by name
visualize bar select catalog_entry_name , count ( catalog_entry_name ) from catalog_contents as t1 join catalog_contents_additional_attributes as t2 on t1 . catalog_entry_id = t2 . catalog_entry_id where t2 . catalog_level_number = {value} group by catalog_entry_name
visualize bar select first_name , salary from employees order by first_name asc
visualize pie select t1 . name , count ( * ) from physician as t1 join patient as t2 on t1 . employeeid = t2 . pcp group by t1 . employeeid
visualize bar select area , count ( area ) from appellations group by area
visualize bar select team_name , team_id from basketball_match
visualize bar select committee , count ( committee ) from election group by committee order by count ( committee ) asc
visualize line select year , max ( price ) from wine group by year
visualize bar select description , count ( description ) from aircraft group by description order by count ( description ) desc
visualize bar select hire_date , sum ( employee_id ) from employees where hire_date < {value} order by sum ( employee_id ) desc bin hire_date by month
visualize bar select date_payment_made , sum ( amount_payment ) from payments where payment_method_code = {value} order by sum ( amount_payment ) desc bin date_payment_made by weekday
visualize bar select bedtype , avg ( baseprice ) from rooms group by bedtype order by avg ( baseprice ) asc
visualize bar select t1 . name , t1 . code from products as t1 join manufacturers as t2 on t1 . manufacturer = t2 . code group by t1 . name order by t1 . name desc
visualize bar select years_played , count ( years_played ) from player group by years_played order by years_played desc
visualize bar select hire_date , sum ( department_id ) from employees where employee_id not in ( select employee_id from job_history ) bin hire_date by weekday
visualize bar select type , count ( * ) from store group by type order by count ( * ) desc
visualize bar select is_full_time , avg ( employee_id ) from hiring group by is_full_time order by is_full_time asc
visualize pie select all_road , all_games_percent from basketball_match
visualize bar select catalog_entry_name , count ( catalog_entry_name ) from catalog_contents as t1 join catalog_contents_additional_attributes as t2 on t1 . catalog_entry_id = t2 . catalog_entry_id where t2 . catalog_level_number = {value} group by catalog_entry_name
visualize bar select first_name , manager_id from employees where department_id not in ( select department_id from departments where manager_id between {value} and {value} ) order by first_name asc
visualize bar select outcome_description , count ( outcome_description ) from research_outcomes as t1 join project_outcomes as t2 on t1 . outcome_code = t2 . outcome_code group by outcome_description order by outcome_description desc
visualize pie select budget_type_code , count ( * ) from documents_with_expenses group by budget_type_code
visualize bar select dept_code , sum ( crs_credit ) from course group by dept_code order by dept_code asc
visualize bar select budget_type_description , count ( budget_type_description ) from documents_with_expenses as t1 join ref_budget_codes as t2 on t1 . budget_type_code = t2 . budget_type_code group by budget_type_description order by count ( budget_type_description ) asc
visualize pie select episode , rating from tv_series order by rating desc limit {value}
visualize bar select dept_name , sum ( credits ) from course group by dept_name order by sum ( credits ) desc
visualize pie select product_type_code , max ( product_price ) from products group by product_type_code
visualize scatter select account_name , count ( * ) from financial_transactions as t1 join accounts as t2 on t1 . account_id = t2 . account_id group by t1 . account_id
visualize bar select first_name , count ( first_name ) from owners as t1 join dogs as t2 on t1 . owner_id = t2 . owner_id group by first_name order by first_name desc
visualize bar select aircraft , count ( * ) from aircraft as t1 join match as t2 on t1 . aircraft_id = t2 . winning_aircraft group by t2 . winning_aircraft order by count ( * ) desc
visualize bar select t2 . name , avg ( count ( * ) ) from friend as t1 join highschooler as t2 on t1 . student_id = t2 . id group by t2 . name order by t2 . name desc
visualize bar select hire_date , avg ( salary ) from employees where salary between {value} and {value} and commission_pct != {value} or department_id != {value} bin hire_date by weekday
visualize bar select name , price from products where price between {value} and {value} order by price asc
visualize bar select nationality , count ( nationality ) from ship group by type , nationality order by count ( nationality ) desc
visualize pie select city , count ( * ) from employee group by city
visualize bar select nationality , sum ( id ) from swimmer group by nationality order by sum ( id ) desc
visualize bar select hometown , age from teacher order by hometown desc
visualize scatter select count ( * ) , sum ( enrollment ) from school group by county
visualize bar select date , avg ( cloud_cover ) from weather order by avg ( cloud_cover ) desc bin date by year
visualize pie select role_code , count ( * ) from users group by role_code
visualize bar select governmentform , sum ( population ) from country group by governmentform order by sum ( population ) desc
visualize bar select hire_date , count ( hire_date ) from employees where salary between {value} and {value} and commission_pct != {value} or department_id != {value} bin hire_date by weekday
visualize scatter select max ( accelerate ) , cylinders from cars_data
visualize bar select main_industry , count ( main_industry ) from company where company_id not in ( select company_id from station_company ) group by main_industry
visualize bar select email , salary from employees where department_id not in ( select department_id from departments where manager_id between {value} and {value} )
visualize bar select meter_400 , meter_100 from swimmer
visualize bar select hire_date , sum ( department_id ) from employees where hire_date < {value} order by sum ( department_id ) asc bin hire_date by weekday
visualize bar select school_code , count ( distinct dept_address ) from department order by school_code desc
visualize bar select date_moved_in , count ( date_moved_in ) from residents order by count ( date_moved_in ) asc bin date_moved_in by weekday
visualize bar select meter_200 , sum ( meter_100 ) from swimmer group by meter_200 order by sum ( meter_100 ) desc
visualize line select hire_date , salary from employees where salary between {value} and {value} and commission_pct != {value} or department_id != {value}
visualize bar select hire_date , sum ( manager_id ) from employees where first_name like {value} or first_name like {value} bin hire_date by weekday
visualize bar select t2 . name , t1 . code from products as t1 join manufacturers as t2 on t1 . manufacturer = t2 . code group by t2 . name order by t2 . name desc
visualize bar select country_name , count ( country_name ) from countries group by country_name order by country_name asc
visualize bar select job , min ( age ) from person group by job order by min ( age ) asc
visualize bar select hire_date , sum ( salary ) from employees where hire_date < {value} order by sum ( salary ) desc bin hire_date by month
visualize bar select hire_date , avg ( employee_id ) from employees where first_name like {value} or first_name like {value} order by avg ( employee_id ) asc bin hire_date by weekday
visualize bar select name , count ( * ) from medication as t1 join prescribes as t2 on t1 . code = t2 . medication group by t1 . brand order by name asc
visualize bar select country , count ( * ) from airport group by country
visualize bar select formats , count ( * ) from files group by formats order by formats desc
visualize line select date_arrived , count ( date_arrived ) from dogs group by date_arrived
visualize bar select name , weight from dogs where abandoned_yn = {value}
visualize bar select founder , sum ( manufacturer ) from products as t1 join manufacturers as t2 on t1 . manufacturer = t2 . code group by founder order by sum ( manufacturer ) asc
visualize scatter select salary , department_id from employees where first_name like {value} or first_name like {value}
visualize bar select country , count ( country ) from artist group by country order by count ( country ) desc
visualize pie select nationality , count ( * ) from people group by nationality
visualize bar select time , id from swimmer order by id desc
visualize line select date_in_location_from , count ( date_in_location_from ) from document_locations group by date_in_location_from order by date_in_location_from desc
visualize bar select name , count ( name ) from products group by name order by count ( name ) desc
visualize bar select card_type_code , count ( * ) from customers_cards group by card_type_code
visualize bar select date_of_enrolment , count ( date_of_enrolment ) from courses as t1 join student_course_enrolment as t2 on t1 . course_id = t2 . course_id where t1 . course_name = {value} order by count ( date_of_enrolment ) desc bin date_of_enrolment by month
visualize bar select fname , count ( fname ) from student where stuid not in ( select t1 . stuid from has_allergy as t1 join allergy_type as t2 on t1 . allergy = t2 . allergy where t2 . allergytype = {value} ) group by fname
visualize bar select time , id from swimmer order by id asc
visualize bar select hire_date , count ( hire_date ) from employees where hire_date < {value} order by count ( hire_date ) desc bin hire_date by weekday
visualize pie select country , count ( country ) from singer group by country
visualize bar select name , weight from people order by name desc
visualize bar select name , count ( name ) from highschooler group by name order by name asc
visualize bar select nationality , count ( nationality ) from journalist group by nationality order by nationality asc
visualize bar select owner , sum ( rating_in_percent ) from channel group by owner order by owner asc
visualize bar select trade_name , id from medicine as t1 join medicine_enzyme_interaction as t2 on t2 . medicine_id = t1 . id
visualize bar select school_code , count ( distinct dept_address ) from department order by count ( distinct dept_address ) desc
visualize scatter select manager_id , department_id from employees where first_name like {value} or first_name like {value}
visualize bar select meter_200 , avg ( id ) from swimmer group by meter_200 order by avg ( id ) asc
visualize bar select name , count ( name ) from likes as t1 join highschooler as t2 on t1 . student_id = t2 . id group by name order by count ( name ) asc
visualize bar select last_name , department_id from employees order by department_id asc
visualize bar select fname , count ( * ) from faculty as t1 join faculty_participates_in as t2 on t1 . facid = t2 . facid group by t1 . facid order by fname desc
visualize bar select city , count ( * ) from employee group by city order by count ( * ) desc
visualize bar select job_id , sum ( salary ) from employees where employee_id not in ( select employee_id from job_history ) group by job_id order by sum ( salary ) desc
visualize bar select transcript_date , t1 . transcript_id from transcript_contents as t1 join transcripts as t2 on t1 . transcript_id = t2 . transcript_id order by transcript_date desc
visualize bar select competition_type , count ( * ) from competition group by competition_type
visualize bar select all_games , school_id from basketball_match order by all_games asc
visualize bar select sex , count ( * ) from people where weight > {value} group by sex
visualize bar select team_name , all_games_percent from basketball_match order by team_name asc
visualize bar select job , avg ( age ) from person where gender = {value} group by job order by job desc
visualize bar select pettype , avg ( weight ) from pets group by pettype order by avg ( weight ) asc
visualize bar select sex , sum ( height ) from people group by sex order by sex asc
visualize bar select t2 . name , t1 . code from products as t1 join manufacturers as t2 on t1 . manufacturer = t2 . code group by t2 . name order by t1 . code desc
visualize scatter select count ( * ) , sum ( student_capacity ) from dorm group by gender
visualize bar select pettype , max ( pet_age ) from pets group by pettype order by pettype asc
visualize bar select date_payment_made , amount_payment from payments where payment_method_code = {value} order by date_payment_made desc
visualize bar select venue , count ( venue ) from debate group by venue order by count ( venue ) desc
visualize bar select founder , count ( founder ) from products as t1 join manufacturers as t2 on t1 . manufacturer = t2 . code group by founder
visualize bar select trade_name , id from medicine as t1 join medicine_enzyme_interaction as t2 on t2 . medicine_id = t1 . id
visualize bar select name , price from products where price between {value} and {value} order by name asc
visualize line select creation , count ( creation ) from department group by creation order by creation desc
visualize bar select director , count ( director ) from movie where year = {value} or year = {value} group by director
visualize line select hire_date , employee_id from employees where employee_id not in ( select employee_id from job_history ) order by hire_date desc
visualize bar select acc_road , avg ( school_id ) from basketball_match group by acc_road order by acc_road asc
visualize bar select school_code , count ( * ) from department as t1 join professor as t2 on t1 . dept_code = t2 . dept_code group by t1 . school_code order by school_code asc
visualize bar select t1 . name , t2 . height from climber as t1 join mountain as t2 on t1 . mountain_id = t2 . mountain_id order by t1 . name asc
visualize bar select statement_details , avg ( account_details ) from accounts as t1 join statements as t2 on t1 . statement_id = t2 . statement_id group by statement_details
visualize bar select name , count ( name ) from races where year between {value} and {value} group by name order by count ( name ) desc
visualize bar select role_code , count ( * ) from employees group by role_code
visualize bar select nationality , count ( * ) from pilot group by nationality order by count ( * ) desc
visualize pie select transaction_type , sum ( transaction_amount ) from financial_transactions group by transaction_type
visualize bar select meter_200 , sum ( meter_100 ) from swimmer group by meter_200 order by meter_200 desc
visualize bar select job_id , manager_id from employees where department_id not in ( select department_id from departments where manager_id between {value} and {value} ) order by manager_id asc
visualize bar select last_name , count ( last_name ) from owners as t1 join dogs as t2 on t1 . owner_id = t2 . owner_id group by last_name order by last_name asc
visualize bar select budget_type_code , count ( * ) from documents_with_expenses group by budget_type_code order by budget_type_code asc
visualize bar select product_name , count ( * ) from products as t1 join products_in_events as t2 on t1 . product_id = t2 . product_id group by t1 . product_name order by count ( * ) asc
visualize bar select asset_make , count ( asset_make ) from assets group by asset_make order by count ( asset_make ) desc
visualize bar select last_name , salary from employees order by salary desc
visualize bar select area , count ( area ) from appellations group by area order by count ( area ) asc
visualize bar select date_address_to , avg ( monthly_rental ) from student_addresses order by monthly_rental desc bin date_address_to by month
visualize bar select formats , count ( * ) from files group by formats order by count ( * ) asc
visualize bar select date_arrived , count ( date_arrived ) from dogs as t1 join treatments as t2 on t1 . dog_id = t2 . dog_id order by count ( date_arrived ) asc bin date_arrived by weekday
visualize line select year , avg ( attendance ) from home_game group by year order by year desc
visualize bar select hire_date , avg ( employee_id ) from employees where employee_id not in ( select employee_id from job_history ) order by avg ( employee_id ) desc bin hire_date by weekday
visualize line select built_year , count ( built_year ) from mill where type = {value} order by built_year desc bin built_year by year
visualize bar select name , count ( * ) from medication as t1 join prescribes as t2 on t1 . code = t2 . medication group by t1 . brand
visualize bar select last_name , department_id from employees where department_id not in ( select department_id from departments where manager_id between {value} and {value} ) order by department_id desc
visualize bar select hire_date , count ( hire_date ) from employees order by count ( hire_date ) asc bin hire_date by month
visualize bar select time , id from swimmer order by time asc
visualize scatter select school_id , acc_percent from basketball_match group by team_name
visualize bar select year , avg ( weight ) from cars_data order by avg ( weight ) asc bin year by weekday
visualize bar select hometown , age from teacher order by hometown asc
visualize bar select destination , count ( * ) from flight group by destination order by destination desc
visualize bar select building , count ( * ) from faculty group by building order by building asc
visualize bar select phone_number , commission_pct from employees where department_id not in ( select department_id from departments where manager_id between {value} and {value} )
visualize bar select service_type_description , count ( service_type_description ) from ref_service_types as t1 join services as t2 on t1 . service_type_code = t2 . service_type_code where t2 . product_price > {value} group by service_type_description order by count ( service_type_description ) asc
visualize bar select t1 . dept_name , count ( distinct t3 . id ) from department as t1 join student as t2 on t1 . dept_name = t2 . dept_name join instructor as t3 on t1 . dept_name = t3 . dept_name order by t1 . dept_name desc
visualize bar select name , level_of_membership from visitor where level_of_membership > {value} order by level_of_membership asc
visualize bar select hire_date , sum ( manager_id ) from employees where department_id not in ( select department_id from departments where manager_id between {value} and {value} ) bin hire_date by month
visualize bar select denomination , count ( * ) from school group by denomination order by count ( * ) asc
visualize scatter select gameid , sum ( hours_played ) from plays_games group by gameid
visualize bar select name , sum ( num_employees ) from department as t1 join management as t2 on t1 . department_id = t2 . department_id where t2 . temporary_acting = {value} group by name order by sum ( num_employees ) asc
visualize bar select left_office , count ( left_office ) from party group by minister bin left_office by year
visualize bar select transaction_type , count ( * ) from financial_transactions group by transaction_type order by transaction_type desc
visualize bar select affiliation , sum ( enrollment ) from university group by affiliation
visualize line select date_payment_made , sum ( amount_payment ) from payments group by date_payment_made order by date_payment_made asc
visualize bar select statement_details , count ( statement_details ) from accounts as t1 join statements as t2 on t1 . statement_id = t2 . statement_id group by statement_details order by count ( statement_details ) asc
visualize bar select hire_date , avg ( manager_id ) from employees where department_id not in ( select department_id from departments where manager_id between {value} and {value} ) order by avg ( manager_id ) desc bin hire_date by weekday
visualize pie select t2 . name , count ( t2 . name ) from climber as t1 join mountain as t2 on t1 . mountain_id = t2 . mountain_id group by t2 . name
visualize bar select type , count ( type ) from ship group by type
visualize bar select all_road , acc_percent from basketball_match order by all_road desc
visualize bar select country , count ( * ) from climber group by country order by country desc
visualize bar select sex , avg ( height ) from people group by sex order by sex desc
visualize bar select t1 . cname , count ( t1 . cname ) from course as t1 join enrolled_in as t2 on t1 . cid = t2 . cid group by t1 . cname t2 . cid having count ( * ) >= {value} order by t1 . cname desc
visualize bar select dept_code , count ( * ) from professor where prof_high_degree = {value} group by dept_code
visualize pie select name , sum ( t1 . show_times_per_day ) from schedule as t1 join cinema as t2 on t1 . cinema_id = t2 . cinema_id group by t1 . cinema_id
visualize line select hire_date , department_id from employees where department_id not in ( select department_id from departments where manager_id between {value} and {value} ) order by hire_date desc
visualize bar select rank , count ( * ) from faculty as t1 join student as t2 on t1 . facid = t2 . advisor group by t1 . rank order by count ( * ) desc
visualize bar select acc_road , avg ( school_id ) from basketball_match group by acc_road order by avg ( school_id ) desc
visualize bar select date_claim_settled , count ( date_claim_settled ) from settlements order by count ( date_claim_settled ) desc bin date_claim_settled by weekday
visualize bar select year , count ( year ) from film_market_estimation as t1 join market as t2 on t1 . market_id = t2 . market_id where t2 . country = {value} order by t1 . year desc bin year by weekday
visualize scatter select count ( * ) , company_id from third_party_companies as t1 join assets as t2 on t1 . company_id = t2 . supplier_company_id group by t1 . company_id
visualize line select hire_date , department_id from employees where salary between {value} and {value} and commission_pct != {value} or department_id != {value} order by hire_date asc
visualize bar select sex , count ( * ) from student where age > ( select avg ( age ) from student ) group by sex order by count ( * ) desc
visualize bar select t1 . name , t1 . code from products as t1 join manufacturers as t2 on t1 . manufacturer = t2 . code group by founder , t1 . name order by t1 . code asc
visualize bar select nationality , count ( nationality ) from swimmer group by nationality order by nationality desc
visualize pie select dept_name , count ( * ) from student as t1 join department as t2 on t1 . dept_code = t2 . dept_code group by t1 . dept_code order by count ( * ) desc limit {value}
visualize bar select company , count ( * ) from station_company as t1 join company as t2 on t1 . company_id = t2 . company_id group by t1 . company_id order by count ( * ) asc
visualize bar select name , count ( name ) from phone_market as t1 join market as t2 on t1 . market_id = t2 . market_id join phone as t3 on t1 . phone_id = t3 . phone_id group by name order by count ( name ) asc
visualize bar select document_name , count ( document_name ) from documents group by document_name order by document_name asc
visualize bar select product_category , count ( * ) from mailshot_campaigns group by product_category order by count ( * ) desc
visualize bar select hometown , count ( * ) from gymnast as t1 join people as t2 on t1 . gymnast_id = t2 . people_id group by t2 . hometown order by count ( * ) asc
visualize bar select year , count ( year ) from matches order by count ( year ) desc bin year by year
visualize bar select t2 . name , count ( t2 . name ) from products as t1 join manufacturers as t2 on t1 . manufacturer = t2 . code group by t2 . name order by t2 . name asc
visualize bar select country , count ( country ) from competition group by competition_type , country
visualize bar select acc_road , avg ( team_id ) from basketball_match group by acc_road order by avg ( team_id ) asc
visualize bar select sex , count ( * ) from faculty where rank = {value} group by sex
visualize bar select name , avg ( grade ) from highschooler group by name
visualize pie select other_details , count ( other_details ) from student_addresses group by other_details order by monthly_rental desc
visualize bar select name , sum ( t1 . show_times_per_day ) from schedule as t1 join cinema as t2 on t1 . cinema_id = t2 . cinema_id group by t1 . cinema_id order by sum ( t1 . show_times_per_day ) desc
visualize bar select date , count ( date ) from battle group by date order by count ( date ) desc
visualize bar select headquarter , avg ( revenue ) from products as t1 join manufacturers as t2 on t1 . manufacturer = t2 . code group by headquarter order by headquarter desc
visualize scatter select support_rate , consider_rate from candidate
visualize bar select apt_type_code , min ( room_count ) from apartments group by apt_type_code order by min ( room_count ) asc
visualize bar select day_of_week , avg ( high_temperature ) from weekly_weather group by day_of_week order by avg ( high_temperature ) asc
visualize bar select title , count ( title ) from rating as t1 join movie as t2 on t1 . mid = t2 . mid where t1 . stars between {value} and {value} group by title
visualize bar select hire_date , sum ( employee_id ) from employees where salary between {value} and {value} and commission_pct != {value} or department_id != {value} order by sum ( employee_id ) asc bin hire_date by month
visualize bar select home_team , count ( home_team ) from game group by away_team , home_team order by home_team asc
visualize bar select date_of_transaction , count ( date_of_transaction ) from transactions where share_count > {value} or amount_of_transaction > {value} bin date_of_transaction by weekday
visualize bar select local_authority , count ( local_authority ) from station group by local_authority order by local_authority asc
visualize bar select acc_road , count ( acc_road ) from basketball_match group by acc_road order by acc_road desc
visualize bar select rank , count ( * ) from faculty group by rank order by count ( * ) desc
visualize bar select product_name , count ( product_name ) from products where product_id not in ( select product_id from products_in_events ) group by product_name order by count ( product_name ) desc
visualize line select yearid , count ( * ) from hall_of_fame group by yearid order by yearid desc
visualize bar select all_road , acc_percent from basketball_match
visualize bar select name , count ( * ) from projects as t1 join assignedto as t2 on t1 . code = t2 . project where t1 . hours > {value} group by t1 . name
visualize bar select category , count ( category ) from music_festival where result = {value} group by category order by count ( category ) asc
visualize bar select acc_regular_season , all_games_percent from basketball_match order by acc_regular_season asc
visualize bar select date_account_opened , count ( date_account_opened ) from accounts order by count ( date_account_opened ) asc bin date_account_opened by weekday
visualize line select hire_date , department_id from employees where department_id not in ( select department_id from departments where manager_id between {value} and {value} )
visualize bar select acc_regular_season , all_games_percent from basketball_match order by acc_regular_season asc
visualize bar select name , avg ( t1 . stars ) from rating as t1 join reviewer as t2 on t1 . rid = t2 . rid group by t2 . name order by avg ( t1 . stars ) desc
visualize bar select name , count ( name ) from playlists group by name order by count ( name ) asc
visualize bar select hire_date , sum ( department_id ) from employees where department_id not in ( select department_id from departments where manager_id between {value} and {value} ) order by sum ( department_id ) desc bin hire_date by weekday
visualize bar select team , count ( * ) from elimination group by team
visualize bar select installation_date , count ( installation_date ) from station order by count ( installation_date ) asc bin installation_date by year
visualize bar select party_name , count ( * ) from party_events as t1 join party as t2 on t1 . party_id = t2 . party_id group by t1 . party_id order by party_name asc
visualize bar select document_date , count ( document_date ) from documents as t1 join projects as t2 on t1 . project_id = t2 . project_id where t2 . project_details = {value} group by document_name bin document_date by weekday
visualize bar select nationality , sum ( meter_100 ) from swimmer group by nationality order by nationality asc
visualize bar select size_code , count ( size_code ) from owners as t1 join dogs as t2 on t1 . owner_id = t2 . owner_id group by size_code order by size_code asc
visualize bar select date_payment_made , count ( date_payment_made ) from payments order by date_payment_made asc bin date_payment_made by weekday
visualize line select open_date , count ( open_date ) from church bin open_date by year
visualize bar select hometown , age from teacher order by hometown asc
visualize bar select date_of_completion , count ( date_of_completion ) from student_course_enrolment as t1 join student_tests_taken as t2 on t1 . registration_id = t2 . registration_id where t2 . test_result = {value} group by date_of_completion order by date_of_completion desc
visualize bar select all_home , school_id from basketball_match group by acc_road , all_home order by school_id desc
visualize scatter select cid , instructor from course order by credits
visualize pie select t1 . name , t1 . tourist_attraction_id from tourist_attractions as t1 join visits as t2 on t1 . tourist_attraction_id = t2 . tourist_attraction_id
visualize bar select last_name , employee_id from employees
